State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
"OYO                 ","SAKI EAST                     ",1313130011,"MUSLIM SECONDARY SCHOOL, AGBONLE                                                                    ","Senior Secondary",PUBLIC,"JSS AND SSS"
NIGER,"KONTAGORA                               ",2711128201,"MUSTAFA COMPREHENSIVE SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BORNO,"MAIDUGURI                     ",1082130005,"MUSTAFA UMAR EL-KANEMI ARABIC COLLEGE MAIDUGURI                                                     ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,IFO,27050819,"MUSTARD GRAIN SCHOOL, AKUTE","Senior Secondary",PRIVATE,PRIVATE
KOGI,ANKPA,22030995,"MUWASSASATU ISLAMIYA SECONDARY SCHOOL AJOBE","Senior Secondary",PUBLIC,"JSS AND SSS"
KANO,FAGGE,20FGESS018,"MVA G.S.S KUKA","Senior Secondary",PUBLIC,"SSS ONLY"
BAUCHI,BOGORO,1050340014,"MWA-YASL COMPREHENSIVE COLLEGE LUSA","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27031603,"MY CROWN MODEL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OSUN,OSOGBO,29300173S,"N.U.D JUNIOR GRAMMER SCHOOL, OKE-BAALE","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",UDI,14160378,"NACHI HIGH SCHOOL NACHI","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,TORO,1051840031,"NADAWA INTERNATIONAL COLLEGE MAGAMA GUMAU","Senior Secondary",PRIVATE,PRIVATE
NIGER,"KONTAGORA                     ",2711062162,"NAGWAMATSE COLLEGE OF ARTS AND ISLAMIC STUDIES","Senior Secondary",PUBLIC,"SSS ONLY"
Ebonyi,EZZA-SOUTH,11060165,"Nalcsolite International  School","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,DASS,1050640022,"NANA FATIMA BRILLIANT INTERNATIONAL SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAYELSA,YENAGOA,6081137,"NAOBEN INTERNATIONAL ACADEMY","Senior Secondary",PRIVATE,PRIVATE
FCT,AMAC,37062170,"NAOWA COLLEGE ABUJA","Senior Secondary",PRIVATE,PRIVATE
FCT,AMAC,37062169,"NAOWA COLLEGE KURUDU","Senior Secondary",PRIVATE,PRIVATE
"ENUGU ",NKANU-EAST,14110175,"NARA HIGH  SECONDARY SCHOOL NARA","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,TORO,1051840065,"NARABI COMPREHENSIVE PRIVATE SCHOOL","Senior Secondary",PRIVATE,PRIVATE
NIGER,MARIGA,26150235,"NASARA BAPTIST ACADEMY NURSERY AND PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,TORO,1051840033,"NASARA MODEL SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
Nasarawa,AKWANGA,25010181S,"NASARAWA STATE SPORTS ACADEMY, AKWANGA","Senior Secondary",PUBLIC,"JSS AND SSS"
NIGER,"KONTAGORA                               ",2711131251,"NASFAT INTERNATIONAL NURSERY & PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
TARABA,USSA,34130420,"NATIONAL COMP. NURSERY AND PRIMARY SCHOOL                                                           ","Senior Secondary",PRIVATE,PRIVATE
"ENUGU ",ENUGU-EAST,14030725,"NATIONAL GRAMMAR SCHOOL, NIKE","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","SAKI WEST                     ",1313230017,"NAWAR-UD-DEEN SECONDARY SCHOOL, SANGO, SAKI                                                         ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IBADAN NORTH                  ",1310630023,"NAWAR-UL-DEEN HIGH SCHOOL NALENDE                                                                   ","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,IREWOLE,29210116S,"NAWARUL- DEEN GOVERNMENT JUNIOR[MIDDLE] SCHOOL, SANNGO","Senior Secondary",PUBLIC,"JSS AND SSS"
Nasarawa,KARU,25040835,"NAZARETH BAPTIST NURSERY/PRIMARY SCHOOL, KUCHIKAU","Senior Secondary",PRIVATE,PRIVATE
Nasarawa,KARU,25040836,"NAZARETH BAPTIST SECONDARY SCHOOL, KUCHIKAU","Senior Secondary",PRIVATE,PRIVATE
TARABA,TAKUM,34120610,"NAZARETH CHRIST-LIKE ACADEMY                                                                        ","Senior Secondary",PRIVATE,PRIVATE
OGUN,"IMEKO AFON",27110207,"NAZARETH HIGH SCHOOL (SNR) IMEKO","Senior Secondary",PUBLIC,"SSS ONLY"
DELTA,NDOKWA-EAST,10110122,"NDAM SEC SCH, BENEKU","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,IZZI,11100310,"Ndieze Community. SEC. SCHOOL OHAGE-WAKA","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,EBONYI,11040306,"NDIOKE GRAMMAR SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,NEMBE,6040123,"NEMBE NATIONAL GRAMMAR SCHOOL NEMBE .","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",27132653,"NESGEL HIGH SCHOOL, MAKOGI","Senior Secondary",PRIVATE,PRIVATE
ENUGU,ENUGU-EAST,14030879,"NEW BETHEL MODEL SCHOOLS","Senior Secondary",PRIVATE,PRIVATE
EBONYI,EBONYI,11040326,"New covenant college ","Senior Secondary",PRIVATE,PRIVATE
EKITI,GBONYIN,EK13130121,"NEW ERA COLLEGE, ODE","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,BOGORO,1050340036,"NEW ERA NURSERY AND PRIMARY SCHOOL BOI","Senior Secondary",PRIVATE,PRIVATE
GOMBE,GOMBE,1160640145,"NEW GENERATION ACADEMY","Senior Secondary",PRIVATE,PRIVATE
"ENUGU ",ENUGU-EAST,14030730,"NEW HAVEN SECONDARY SCHOOL ENUGU","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",27132654,"NEW HEAVEN COLLEGE, MOWE","Senior Secondary",PRIVATE,PRIVATE
