State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
ENUGU,ISI-UZO,14100143,"FIRST CENTURY GOSPEL COMPREHENSIVE SECONDARY SCHOOL MBU AKPOTI","Junior Secondary",PRIVATE,"JSS ONLY"
IMO,ISU,16100019,"FIRST CENTURY GOSPEL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,BADAGRY,24060258,"FIRST CHANNEL MONTESSORI SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,KOSOFE,24131633,"FIRST CHOICE COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
EDO,OREDO,12120098,"FIRST CHOICE HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
TARABA,WUKARI,34140385,"FIRST CITY OF DAVID HERITAGE SECONDARY SCHOOL WUKARI ","Junior Secondary",PRIVATE,"JSS AND SSS"
EKITI,ADO-EKITI,13010185,"FIRST CLASS ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,OBIOMA-NGWA,1090450,"FIRST CLASS CHRISTIAN ACADEMY ","Junior Secondary",PRIVATE,"JSS ONLY"
OYO,AKINYELE,30020313,"FIRST CLASS COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
EKITI,EKITI-WEST,13050055,"FIRST CLASS COLLEGE OKE-OJA ARAMOKO","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,ISIALA-NGWA-SOUTH,1070145,"FIRST CLASS COMPREHENSIVE COLLEGE, OMOBA","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,IKWO,11070131,"FIRST CLASS COMPREHENSIVE SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,UNGOGO,19420116,"FIRST CLASS INTERNATIONAL ACADEMY                                               ","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,EZZA-SOUTH,11060068,"FIRST CLASS INTERNATIONAL COLLEGE, IDEMBIA","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,OSOGBO,29300100,"FIRST CLASS INTERNATIONAL COLLEGE, OSOGBO","Junior Secondary",PRIVATE,"JSS AND SSS"
IMO,ORLU,16210069,"FIRST CLASS INTERNATIONAL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
FCT,BWARI,37020589,"FIRST CLASS KINGS AND QUEENS JSS","Junior Secondary",PRIVATE,"JSS ONLY"
ABIA,OSISIOMA,1110292,"FIRST CLASS LEARNERS SECONDARY SCH","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IJEBU-NORTH,27080071,"FIRST CLASS MODEL COLLEGE TEMIDIRE, ABATITUN ABEKU","Junior Secondary",PRIVATE,"JSS AND SSS"
